"town","year","call_reason","self","disp","avg_hours_per_call","totalCalls","totalHours"
"Leverett",2018-01-01,"FIREARMS LICENSING",7,0,0.736166666666667,7,5.15316666666667
"Leverett",2018-01-01,"BRUSH FIRE",0,1,0.6585,1,0.6585
"Leverett",2018-01-01,"FIRE, OTHER NON-SPECIFIC",0,4,0.6055,4,2.422
"Leverett",2018-01-01,"VEHICLE FIRE",0,1,0.998333333333333,1,0.998333333333333
"Leverett",2018-01-01,"FIRE WORKS",0,1,0,1,0
"Leverett",2018-01-01,"FOLLOW UP INVESTIGATION",10,2,1.21,12,14.52
"Leverett",2018-01-01,"FRAUD/SCAM",1,3,0.355,4,1.42
"Leverett",2018-01-01,"GAS LEAK",0,1,0.534666666666667,1,0.534666666666667
"Leverett",2018-01-01,"GENERAL INFO",0,3,0,3,0
"Leverett",2018-01-01,"HARASSMENT",1,0,0.125,1,0.125
"Leverett",2018-01-01,"ILLEGAL BURN",0,3,0.336666666666667,3,1.01
"Leverett",2018-01-01,"INVESTIGATION",16,1,0.279,17,4.743
"Leverett",2018-01-01,"LARCENY",0,2,0.275333333333333,2,0.550666666666667
"Leverett",2018-01-01,"LINE DOWN, POWER,PHONE OR CABL",2,6,0.791,8,6.328
"Leverett",2018-01-01,"LOCKOUT",1,1,0.229166666666667,2,0.458333333333333
"Leverett",2018-01-01,"MEDICAL EMERGENCY",0,85,0.487333333333333,85,41.4233333333333
"Leverett",2018-01-01,"MISCELLANEOUS",3,5,0.2225,8,1.78
"Leverett",2018-01-01,"MOTOR VEHICLE ACCIDENT NO INJU",3,37,0.649166666666667,40,25.9666666666667
"Leverett",2018-01-01,"MOTOR VEHICLE COMPLAINT",1,21,0.342333333333333,22,7.53133333333333
"Leverett",2018-01-01,"MOTOR VEHICLE ACCIDE W/INJURY",0,3,1.83233333333333,3,5.497
"Leverett",2018-01-01,"MOTOR VEHICLE - STOLEN",0,2,0.585,2,1.17
"Leverett",2018-01-01,"MOTOR VEHICLE VIOLATION",559,3,0.163,562,91.606
"Leverett",2018-01-01,"NOISE COMPLAINT",0,1,0,1,0
"Leverett",2018-01-01,"NOTIFICATION",0,5,0.855166666666667,5,4.27583333333333
"Leverett",2018-01-01,"ODOR INVESTIGATION",0,3,0.464333333333333,3,1.393
"Leverett",2018-01-01,"OFFICER WANTED",1,10,0.980333333333333,11,10.7836666666667
"Leverett",2018-01-01,"PAPERWORK SERVICE",37,1,0.122833333333333,38,4.66766666666667
"Leverett",2018-01-01,"ANNOYING PHONE CALLS",0,2,0.388833333333333,2,0.777666666666667
"Leverett",2018-01-01,"PATROL AREA",104,0,0.135666666666667,104,14.1093333333333
"Leverett",2018-01-01,"RADAR/TRAFFIC ENFORCEMENT",265,1,0.466833333333333,266,124.177666666667
"Leverett",2018-01-01,"ROLLING 9",13,4,0.170166666666667,17,2.89283333333333
"Leverett",2018-01-01,"ROLLING Q2-1",1,0,0.127833333333333,1,0.127833333333333
"Leverett",2018-01-01,"SAFETY HAZARD",5,15,0.641833333333333,20,12.8366666666667
"Leverett",2018-01-01,"Section 12",0,1,0.598833333333333,1,0.598833333333333
"Leverett",2018-01-01,"SERVICE CALL",3,3,0.862166666666667,6,5.173
"Leverett",2018-01-01,"SHOPLIFTING",0,1,0.727333333333333,1,0.727333333333333
"Leverett",2018-01-01,"SHOTS FIRED",0,4,0.4045,4,1.618
"Leverett",2018-01-01,"SMOKE INVESTIGATION",0,2,0.729166666666667,2,1.45833333333333
"Leverett",2018-01-01,"SUSPICIOUS PERSON",1,6,0.503333333333333,7,3.52333333333333
"Leverett",2018-01-01,"SUSPICIOUS ACTIVITY",0,2,0.242166666666667,2,0.484333333333333
"Leverett",2018-01-01,"SUSPICIOUS VEHICLE",8,3,0.413333333333333,11,4.54666666666667
"Leverett",2018-01-01,"THREAT",0,2,1.2175,2,2.435
"Leverett",2018-01-01,"TRAFFIC HAZARD",5,14,0.665333333333333,19,12.6413333333333
"Leverett",2018-01-01,"TRAFFIC CONTROL",6,0,0.4285,6,2.571
"Leverett",2018-01-01,"TRESPASS",0,1,0.300833333333333,1,0.300833333333333
"Leverett",2018-01-01,"UNWANTED PERSON",1,1,0.287,2,0.574
"Leverett",2018-01-01,"VANDALISM",3,1,0.168,4,0.672
"Leverett",2018-01-01,"SERVE WARRANT",0,1,1.02016666666667,1,1.02016666666667
"Leverett",2019-01-01,"209A SERVICE",0,1,0.107166666666667,1,0.107166666666667
"Leverett",2019-01-01,"ABANDONED 911 CALL",0,3,0.314166666666667,3,0.9425
