"","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths"
"Democratic Republic of the Congo","82 511 [ 53 300- 131 000]","65 331 [ 45 400- 94 600]","65 555 [ 46 700- 92 200]","67 792 [ 49 400- 92 300]","63 964 [ 47 900- 84 300]","58 167 [ 44 600- 74 500]","56 829 [ 44 600- 70 900]","59 293 [ 47 500- 72 400]","67 528 [ 55 200- 80 900]","79 887 [ 66 400- 94 300]","91 831 [ 77 700- 107 000]","101 421 [ 87 500- 117 000]","106 681 [ 93 400- 121 000]","111 542 [ 99 100- 125 000]","115 483 [ 104 000- 129 000]","112 725 [ 102 000- 125 000]","112 034 [ 102 000- 124 000]","105 469 [ 96 100- 116 000]","101 603 [ 92 800- 112 000]","100 192 [ 91 700- 110 000]","100 494 [ 92 100- 110 000]"
"Denmark","No malaria","","","","","","","","","","","","","","","","","","","",""
"Djibouti","126 [ 9- 200]","97 [ 5- 150]","43 [ 2- 67]","25 [ 0 - 39 ]","30 [ 1- 48]","24 [ 0 - 37 ]","24 [ 0 - 37 ]","4 [ 0 - 6 ]","5 [ 0 - 10 ]","5 [ 0 - 10 ]","2 [ 0 - 4 ]","6 [ 0 - 10 ]","5 [ 0 - 10 ]","5 [ 0 - 10 ]","5 [ 0 - 9 ]","5 [ 0 - 9 ]","5 [ 0 - 9 ]","4 [ 0 - 9 ]","4 [ 0 - 9 ]","4 [ 0 - 9 ]","4 [ 0 - 9 ]"
"Dominica","No malaria","","","","","","","","","","","","","","","","","","","",""
"Dominican Republic","2","4","1","1","1","3","4","5","8","10","15","14","11","17","10","16","16","12","11","17","6"
"Ecuador","3","0","0","0","0","0","0","0","0","0","0","6","5","8","9","22","37","46","64","84","66"
"Egypt","No malaria No malaria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"El Salvador","No malaria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Equatorial Guinea","No malaria","643 [ 520- 840]","632 [ 520- 820]","651 [ 530- 840]","666 [ 540- 840]","706 [ 570- 880]","770 [ 620- 960]","735 [ 610- 890]","667 [ 560- 790]","617 [ 530- 720]","598 [ 520- 690]","535 [ 480- 600]","569 [ 510- 640]","610 [ 550- 680]","656 [ 590- 730]","712 [ 640- 790]","707 [ 640- 780]","682 [ 620- 760]","657 [ 600- 730]","644 [ 590- 710]","633 [ 580- 700]"
"Eritrea","372 [ 13- 760]","437 [ 19- 890]","196 [ 10- 390]","221 [ 12- 450]","198 [ 7- 440]","128 [ 6- 260]","227 [ 11- 460]","88 [ 5- 180]","85 [ 6- 170]","141 [ 8- 280]","161 [ 9- 320]","41 [ 3- 81]","37 [ 2- 76]","60 [ 4- 120]","36 [ 1- 76]","59 [ 2- 130]","32 [ 0 - 79 ]","112 [ 3- 260]","74 [ 1- 200]","130 [ 2- 340]","97 [ 2- 270]"
"Estonia","No malaria","","","","","","","","","","","","","","","","","","","",""
"Eswatini","0","0","1 [ 0 - 2 ]","1 [ 0 - 1 ]","0 [ 0 - 1 ]","0 [ 0 - 1 ]","0 [ 0 - 1 ]","1 [ 0 - 2 ]","1 [ 0 - 1 ]","0 [ 0 - 1 ]","0 [ 0 - 1 ]","0","0","0","0","0 [ 0 - 1 ]","1 [ 0 - 2 ]","0 [ 0 - 1 ]","1 [ 0 - 2 ]","3 [ 0 - 5 ]","2 [ 0 - 5 ]"
"Ethiopia","9 433 [ 380- 20 500]","5 708 [ 250- 12 300]","6 500 [ 230- 14 200]","9 158 [ 520- 21 100]","11 879 [ 650- 28 200]","16 199 [ 880- 38 700]","17 624 [ 960- 42 100]","21 978 [ 1 420- 53 500]","17 579 [ 1 190- 49 700]","15 005 [ 850- 49 200]","17 096 [ 540- 65 300]","14 838 [ 440- 55 400]","9 840 [ 420- 37 000]","11 526 [ 400- 44 800]","13 798 [ 430- 55 000]","15 072 [ 520- 59 300]","21 110 [ 760- 82 900]","18 702 [ 1 090- 55 500]","16 864 [ 1 040- 41 600]","18 031 [ 1 110- 41 900]","16 808 [ 1 240- 34 800]"
"Fiji","No malaria","","","","","","","","","","","","","","","","","","","",""
"Finland","No malaria","","","","","","","","","","","","","","","","","","","",""
"France","No malaria","","","","","","","","","","","","","","","","","","","",""
"Gabon","424 [ 330- 600]","381 [ 320- 480]","377 [ 320- 470]","382 [ 320- 470]","390 [ 330- 470]","394 [ 340- 470]","386 [ 330- 450]","360 [ 320- 410]","318 [ 290- 360]","283 [ 260- 310]","252 [ 240- 270]","226 [ 210- 240]","210 [ 200- 220]","199 [ 190- 210]","199 [ 190- 210]","201 [ 190- 210]","219 [ 210- 240]","254 [ 240- 280]","299 [ 280- 330]","337 [ 310- 380]","359 [ 330- 400]"
"Gambia","615 [ 560- 680]","569 [ 540- 600]","560 [ 540- 590]","538 [ 520- 560]","523 [ 500- 540]","514 [ 500- 540]","504 [ 490- 520]","493 [ 480- 510]","487 [ 470- 510]","480 [ 460- 500]","470 [ 450- 490]","450 [ 430- 470]","445 [ 430- 460]","441 [ 430- 460]","441 [ 430- 460]","441 [ 430- 460]","449 [ 430- 470]","468 [ 450- 490]","489 [ 470- 510]","527 [ 500- 560]","577 [ 550- 610]"
"Georgia","No malaria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Germany","No malaria","","","","","","","","","","","","","","","","","","","",""
"Ghana","12 084 [ 11 200- 13 300]","11 877 [ 11 200- 12 700]","11 792 [ 11 200- 12 500]","11 374 [ 10 900- 12 000]","11 608 [ 11 100- 12 100]","12 781 [ 12 200- 13 400]","14 109 [ 13 500- 14 800]","15 540 [ 14 900- 16 300]","16 282 [ 15 600- 17 000]","16 841 [ 16 100- 17 600]","15 810 [ 15 200- 16 500]","15 721 [ 15 100- 16 300]","14 759 [ 14 200- 15 300]","14 426 [ 13 900- 15 000]","14 925 [ 14 400- 15 500]","14 693 [ 14 200- 15 200]","15 105 [ 14 600- 15 700]","15 909 [ 15 300- 16 500]","16 937 [ 16 300- 17 600]","18 435 [ 17 700- 19 200]","19 388 [ 18 600- 20 200]"
"Greece","No malaria","","","","","","","","","","","","","","","","","","","",""
"Grenada","No malaria","","","","","","","","","","","","","","","","","","","",""
"Guatemala","0","0 [ 0 - 1 ]","1 [ 0 - 2 ]","1 [ 0 - 3 ]","2 [ 0 - 3 ]","2 [ 0 - 4 ]","2 [ 0 - 3 ]","2 [ 0 - 4 ]","2 [ 0 - 3 ]","2 [ 1- 5]","3 [ 1- 6]","3 [ 1- 5]","3 [ 1- 5]","6 [ 2- 11]","15 [ 6- 25]","19 [ 7- 32]","14 [ 5- 24]","16 [ 6- 27]","20 [ 7- 33]","18 [ 7- 30]","27 [ 10- 45]"
